drug_name_lower,currently_resolves_to_bucket,bucket_generic_name,trials_referencing_this_name
s-1-5-fluorouracil,trastuzumab-qyyp,trastuzumab-qyyp,0
s-1; oxaliplatin; 5-fu; leucovorin calcium,trastuzumab-qyyp,trastuzumab-qyyp,1
s-3apg,velcade thalidomide dexamethasone,Velcade Thalidomide Dexamethasone,0
s-8184 paclitaxel injectable emulsion,trastuzumab-qyyp,trastuzumab-qyyp,4
s103,...,...,0
sact,...,...,0
sait-101,trastuzumab-qyyp,trastuzumab-qyyp,0
sait101,trastuzumab-qyyp,trastuzumab-qyyp,1
salvage chemotherapy,n/a,N/A,0
salvax duo,urea,urea,0
salvax duo plus,urea,urea,0
salvus,dydrogesterone,dydrogesterone,0
samm al ferakh,withania somnifera,withania somnifera,0
